,0,1
0,whites-lights,5
1,darks-colours,2
2,darks-denims,2
3,lights-delicates,2
4,darks-children's,1
5,lights-children's,1
6,darks-mixed,1
7,denims-children's,1
8,handwash-delicates,1
9,whites-delicates,1
10,lights-mixed,1
11,colours-mixed,1
12,handwash-denims,1
13,whites-handwash,1
14,darks-miscellaneous,1
