,idx,parameter,ac1,ac2
48,48,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.50206,0.90365
49,49,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.50317,0.91635
50,50,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 2)",0.50016,0.91619
51,51,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 0.5)",0.50111,0.90762
52,52,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 1)",0.50317,0.91524
53,53,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 2)",0.50063,0.91603
54,54,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.49508,0.90937
55,55,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.50381,0.91762
56,56,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 2)",0.50317,0.91857
57,57,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.49984,0.90873
58,58,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.50238,0.91667
59,59,"('Sarsa', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 2)",0.50365,0.91825
60,60,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 0.5)",0.50238,0.85746
61,61,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 1)",0.50048,0.90667
62,62,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 1, 2)",0.50175,0.91508
63,63,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 0.5)",0.50048,0.85810
64,64,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 1)",0.50333,0.91476
65,65,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 2, 2)",0.50079,0.91571
66,66,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 0.5)",0.50032,0.85365
67,67,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 1)",0.50063,0.91317
68,68,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 3, 2)",0.49889,0.91905
69,69,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 0.5)",0.50222,0.86365
70,70,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 1)",0.50159,0.91492
71,71,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.05, 0, 0.1, 5, 2)",0.50159,0.92143
72,72,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 0.5)",0.50063,0.88349
73,73,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 1)",0.49841,0.91381
74,74,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 1, 2)",0.49968,0.91619
75,75,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 0.5)",0.50286,0.88857
76,76,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 1)",0.50159,0.92016
77,77,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 2, 2)",0.50302,0.91635
78,78,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 0.5)",0.50048,0.89270
79,79,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 1)",0.50286,0.92143
80,80,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 3, 2)",0.50222,0.91730
81,81,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 0.5)",0.50397,0.88905
82,82,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 1)",0.50302,0.92159
83,83,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.1, 0, 0.1, 5, 2)",0.50222,0.92032
84,84,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 0.5)",0.50349,0.91079
85,85,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 1)",0.49905,0.91587
86,86,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 1, 2)",0.50286,0.91619
87,87,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 0.5)",0.50127,0.91333
88,88,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 1)",0.49222,0.91984
89,89,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 2, 2)",0.49921,0.91619
90,90,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 0.5)",0.50143,0.91286
91,91,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 1)",0.50190,0.92079
92,92,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 3, 2)",0.50381,0.91762
93,93,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 0.5)",0.50190,0.91333
94,94,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 1)",0.50413,0.92143
95,95,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.3, 0, 0.1, 5, 2)",0.50365,0.92032
96,96,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 0.5)",0.50222,0.90524
97,97,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 1)",0.50397,0.91587
98,98,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 1, 2)",0.50048,0.91587
99,99,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 0.5)",0.50302,0.90698
100,100,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 1)",0.50349,0.91730
101,101,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 2, 2)",0.50286,0.91619
102,102,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 0.5)",0.50286,0.90905
103,103,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 1)",0.49952,0.91810
104,104,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 3, 2)",0.49698,0.91810
105,105,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 0.5)",0.50127,0.91603
106,106,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 1)",0.50143,0.92111
107,107,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.5, 0, 0.1, 5, 2)",0.50254,0.91714
108,108,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 0.5)",0.49968,0.90619
109,109,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 1)",0.50302,0.91619
110,110,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 1, 2)",0.50111,0.91635
111,111,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 0.5)",0.50317,0.90556
112,112,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 1)",0.50333,0.91746
113,113,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 2, 2)",0.50365,0.91603
114,114,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 0.5)",0.50238,0.90603
115,115,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 1)",0.50397,0.91873
116,116,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 3, 2)",0.50190,0.91889
117,117,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 0.5)",0.50063,0.90905
118,118,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 1)",0.50000,0.91571
119,119,"('QLearning', 2000, 50, 1, 0.05, 0, 0.1, 0.7, 0, 0.1, 5, 2)",0.50302,0.91683
