,Count,If_use
1,0.000,0.000
2,1.000,1.000
3,1.000,1.000
4,6.000,1.000
5,1.000,1.000
6,0.000,0.000
7,1.000,1.000
8,1.000,1.000
9,0.000,0.000
10,1.000,1.000
11,0.000,0.000
12,2.000,1.000
13,1.000,1.000
14,5.000,1.000
15,0.000,0.000
16,5.000,1.000
17,0.000,0.000
18,1.000,1.000
19,1.000,1.000
20,0.000,0.000
21,1.000,1.000
22,0.000,0.000
23,0.000,0.000
24,2.000,1.000
25,0.000,0.000
26,3.000,1.000
27,0.000,0.000
28,0.000,0.000
29,0.000,0.000
30,1.000,1.000
