,Count,If_use
1,11.000,1.000
2,3.000,1.000
3,4.000,1.000
4,3.000,1.000
5,4.000,1.000
6,3.000,1.000
7,5.000,1.000
8,8.000,1.000
9,11.000,1.000
10,9.000,1.000
11,3.000,1.000
12,0.000,0.000
13,3.000,1.000
14,0.000,0.000
15,3.000,1.000
16,0.000,0.000
17,0.000,0.000
18,0.000,0.000
19,0.000,0.000
20,4.000,1.000
21,0.000,0.000
22,0.000,0.000
23,2.000,1.000
24,0.000,0.000
25,0.000,0.000
26,0.000,0.000
27,4.000,1.000
28,0.000,0.000
29,13.000,1.000
30,0.000,0.000
